Name,Tot. Statements,Tot. Branches,Deployed,Avg. Test Case Length,Branches Covered,Generations,Blockchain Time,Offchain Time,Total Time,Branch %
SecureAuction,11,6,1,5.0,6.0,0,76.988975,17.696095,94.68507,1.0
LotteryFor10,45,44,1,4.372093023255814,43.0,100,10117.537109,3933.4338479999988,14050.970957,0.9772727272727273
GuessTheNumberChallenge,6,8,0,15.125,8.0,0,22.864134,8.010345999999998,30.87448,1.0
SecureAuction,11,6,1,3.1666666666666665,6.0,0,72.985424,18.224467000000004,91.209891,1.0
PermissionGroups,58,86,1,6.744186046511628,86.0,42,3353.751309,1255.752125,4609.503434,1.0
LotteryMultipleWinners,31,45,0,5.555555555555555,45.0,45,4967.167505,1552.1832689999992,6519.350774,1.0
EasyPayAndWithDraw,7,8,0,11.875,8.0,2,307.567253,56.773776999999995,364.34103,1.0
EIP20StandardToken,24,13,1,5.769230769230769,13.0,0,77.23232,24.327242999999996,101.559563,1.0
VulnerableTwoStep,11,10,0,3.9,10.0,0,60.922307,11.569681000000003,72.491988,1.0
AddressBook,19,54,0,10.055555555555555,54.0,2,254.853178,95.27046899999999,350.123647,1.0
Greeter3,15,73,0,7.342465753424658,73.0,0,104.183177,45.96194,150.145117,1.0
Greeter3,15,73,0,10.383561643835616,73.0,0,105.342174,45.088825000000014,150.430999,1.0
VulnerableTwoStep,11,10,0,4.3,10.0,0,52.311934,10.481125999999996,62.79306,1.0
EIP20StandardToken,24,13,1,6.846153846153846,13.0,0,76.425864,24.237555,100.663419,1.0
EasyPayAndWithDraw,7,8,0,8.25,8.0,1,226.931631,47.50488499999997,274.436516,1.0
LotteryMultipleWinners,31,45,0,6.7555555555555555,45.0,100,9644.395228,2919.211115,12563.606343,1.0
PermissionGroups,58,86,1,7.744186046511628,86.0,60,7125.560941,2419.6919240000007,9545.252865,1.0
VulnerableTwoStep,11,10,0,7.4,10.0,0,60.40739,12.490834999999997,72.898225,1.0
LotteryMultipleWinners,31,45,0,9.666666666666666,45.0,12,2019.05728,624.7543700000001,2643.81165,1.0
Gift_1_ETH,18,18,1,2.0,14.0,100,5545.366926,1164.7018470000003,6710.068773,0.7777777777777778
SecureAuction,11,6,1,3.3333333333333335,6.0,0,64.049777,14.998494999999991,79.048272,1.0
FundRaising,23,21,0,6.904761904761905,21.0,0,58.915515,17.388458,76.303973,1.0
BasicToken,11,8,0,2.375,8.0,0,69.605648,20.535850999999994,90.141499,1.0
FundRaising,23,21,0,5.904761904761905,21.0,0,66.357328,20.180431,86.537759,1.0
Gift_1_ETH,18,18,1,2.0,14.0,100,6808.251324,1495.3657730000004,8303.617097,0.7777777777777778
PermissionGroups,58,86,1,4.127906976744186,86.0,53,4277.234509,1345.4310489999998,5622.665558,1.0
LotteryMultipleWinners,31,45,0,8.545454545454545,44.0,100,16071.54938,4885.650948999999,20957.200329,0.9777777777777777
EasyPayAndWithDraw,7,8,0,7.5,8.0,1,216.538031,44.50211999999999,261.040151,1.0
EIP20StandardToken,24,13,1,5.230769230769231,13.0,0,80.345204,25.46974200000001,105.814946,1.0
VulnerableTwoStep,11,10,0,6.0,10.0,0,57.635695,11.320338000000007,68.956033,1.0
Greeter3,15,73,0,6.465753424657534,73.0,9,1361.803584,553.1952309999999,1914.998815,1.0
AddressBook,19,54,0,9.907407407407407,54.0,1,107.798089,44.79379,152.591879,1.0
IdentityManager,49,90,1,4.671232876712328,73.0,100,14261.344248,5184.650760000002,19445.995008,0.8111111111111111
