Name,Tot. Statements,Deployed,Tot. Branches,Avg. Test Case Lenght,Branches Covered,Generations,Blockchain Time,Offchain Time,Total time
MultiSigWallet (2),59,N,18538.088332,3.056338028169014,71,100,14013.498923,4524.589409,18538.088332
FundRaising,23,N,85.873575,4.619047619047619,21,0,66.371872,19.501703000000006,85.873575
PermissionGroups,58,Y,11781.500988,9.16470588235294,85,100,8859.18432,2922.3166679999995,11781.500988
Reentrance,9,Y,6908.560266,2.0,13,100,5783.235705,1125.3245610000004,6908.560266
Greeter,15,N,1036.171118,5.54320987654321,81,6,729.502964,306.66815399999996,1036.171118
LotteryMultipleWinners,31,N,14949.856373,7.977777777777778,45,86,11405.54809,3544.3082830000003,14949.856373
EasyPayAndWithDraw,7,N,396.178766,12.0,8,2,334.504147,61.67461900000001,396.178766
EIP20StandardToken,24,Y,135.650856,5.923076923076923,13,0,103.113975,32.53688100000001,135.650856
VulnerableTwoStep,11,N,91.077164,3.9,10,0,76.698296,14.378867999999997,91.077164
Greeter3,15,N,152.096874,8.58904109589041,73,0,106.988495,45.10837900000001,152.096874
Greeter3,15,N,138.608376,7.767123287671233,73,0,96.808308,41.800067999999996,138.608376
AddressBook,19,N,508.60836,7.462962962962963,54,3,370.290714,138.31764600000002,508.60836
PermissionGroups,58,Y,8678.518927,8.988372093023257,86,71,6443.755611,2234.7633159999996,8678.518927
VulnerableTwoStep,11,N,77.052943,5.4,10,0,63.835778,13.217165000000001,77.052943
EIP20StandardToken,24,Y,135.361683,5.230769230769231,13,0,103.1079,32.253783,135.361683
EasyPayAndWithDraw,7,N,219.075215,11.5,8,1,181.885348,37.18986699999999,219.075215
GuessTheNumberChallenge,6,N,26.821646,24.5,8,0,19.535513,7.2861329999999995,26.821646
PermissionGroups,58,Y,19580.107503,5.083333333333333,84,100,13624.640534,5955.466968999999,19580.107503
LotteryFor10,45,Y,16651.697007,3.86046511627907,43,100,11779.196287,4872.500719999998,16651.697007
SecureAuction,11,Y,83.590621,3.3333333333333335,6,1,67.436098,16.154522999999998,83.590621
FundRaising,23,N,83.122889,6.095238095238095,21,0,63.597149,19.52574,83.122889
BasicToken,11,N,101.883771,5.25,8,1,78.917032,22.96673899999999,101.883771
BasicToken,11,N,106.276836,5.0,8,1,80.821378,25.455458000000007,106.276836
Greeter2,13,N,185.82446,8.15,60,0,127.526535,58.29792499999999,185.82446
Greeter,15,N,166.634451,6.716049382716049,81,0,113.122617,53.51183400000001,166.634451
SecureAuction,11,Y,83.256051,3.6666666666666665,6,1,66.934222,16.321828999999994,83.256051
LotteryFor10,45,Y,14050.970957,4.372093023255814,43,100,10117.537109,3933.4338479999988,14050.970957
GuessTheNumberChallenge,6,N,30.87448,15.125,8,0,22.864134,8.010345999999998,30.87448
SecureAuction,11,Y,81.396776,3.3333333333333335,6,1,66.422501,14.974275000000006,81.396776
PermissionGroups,58,Y,4609.503434,6.744186046511628,86,42,3353.751309,1255.752125,4609.503434
LotteryMultipleWinners,31,N,6519.350774,5.555555555555555,45,45,4967.167505,1552.1832689999992,6519.350774
EasyPayAndWithDraw,7,N,364.34103,11.875,8,2,307.567253,56.773776999999995,364.34103
EIP20StandardToken,24,Y,132.679566,7.538461538461538,13,0,101.181811,31.497754999999998,132.679566
VulnerableTwoStep,11,N,94.470665,5.6,10,0,79.144892,15.325772999999998,94.470665
AddressBook,19,N,350.123647,10.055555555555555,54,2,254.853178,95.27046899999999,350.123647
Greeter3,15,N,150.145117,7.342465753424658,73,0,104.183177,45.96194,150.145117
Greeter3,15,N,150.430999,10.383561643835616,73,0,105.342174,45.088825000000014,150.430999
VulnerableTwoStep,11,N,85.171095,6.1,10,0,70.677256,14.493838999999994,85.171095
EIP20StandardToken,24,Y,116.516329,9.153846153846153,13,0,87.621584,28.894745,116.516329
EasyPayAndWithDraw,7,N,274.436516,8.25,8,1,226.931631,47.50488499999997,274.436516
LotteryMultipleWinners,31,N,12563.606343,6.7555555555555555,45,100,9644.395228,2919.211115,12563.606343
PermissionGroups,58,Y,9545.252865,7.744186046511628,86,60,7125.560941,2419.6919240000007,9545.252865
VulnerableTwoStep,11,N,96.718922,6.4,10,0,81.4937,15.225222000000002,96.718922
LotteryMultipleWinners,31,N,2643.81165,9.666666666666666,45,12,2019.05728,624.7543700000001,2643.81165
Gift_1_ETH,18,Y,6710.068773,2.0,14,100,5545.366926,1164.7018470000003,6710.068773
SecureAuction,11,Y,85.167219,2.8333333333333335,6,1,68.786654,16.380565000000004,85.167219
FundRaising,23,N,76.303973,6.904761904761905,21,0,58.915515,17.388458,76.303973
BasicToken,11,N,101.310977,4.25,8,1,79.695543,21.615433999999993,101.310977
FundRaising,23,N,86.537759,5.904761904761905,21,0,66.357328,20.180431,86.537759
Gift_1_ETH,18,Y,8303.617097,2.0,14,100,6808.251324,1495.3657730000004,8303.617097
PermissionGroups,58,Y,5622.665558,4.127906976744186,86,53,4277.234509,1345.4310489999998,5622.665558
LotteryMultipleWinners,31,N,20957.200329,8.545454545454545,44,100,16071.54938,4885.650948999999,20957.200329
EasyPayAndWithDraw,7,N,261.040151,7.5,8,1,216.538031,44.50211999999999,261.040151
EIP20StandardToken,24,Y,132.086,9.692307692307692,13,0,99.800712,32.28528800000001,132.086
VulnerableTwoStep,11,N,92.889162,6.7,10,0,78.470087,14.419074999999992,92.889162
Greeter3,15,N,1914.998815,6.465753424657534,73,9,1361.803584,553.1952309999999,1914.998815
AddressBook,19,N,152.591879,9.907407407407407,54,1,107.798089,44.79379,152.591879
IdentityManager,49,Y,19445.995008,4.671232876712328,73,100,14261.344248,5184.650760000002,19445.995008
VulnerableTwoStep,11,N,88.647828,5.7,10,0,73.766334,14.881494000000004,88.647828
Greeter,15,N,163.847023,6.7407407407407405,81,0,113.394494,50.45252900000001,163.847023
PermissionGroups,58,Y,7027.964888,6.267441860465116,86,62,5315.972121,1711.9927670000006,7027.964888
GuessTheNumberChallenge,6,N,27.232286,17.75,8,0,19.834491,7.397794999999999,27.232286
LotteryFor10,45,Y,17176.390878,5.046511627906977,43,100,12610.998036,4565.3928419999975,17176.390878
Gift_1_ETH,18,Y,6470.258224,2.0,14,100,5345.08336,1125.1748640000005,6470.258224
TestDateTime,160,Y,9399.845719,2.2979591836734694,245,100,5984.647469,3415.1982500000013,9399.845719
MultiSigWallet (2),59,N,14575.587605,3.1948051948051948,77,100,10877.388811,3698.198794,14575.587605
MultiSigWallet (2),59,N,14586.287902,2.958904109589041,73,100,11042.140749,3544.147153,14586.287902
Randomness,22,N,7122.570216,2.4375,16,100,5867.723255,1254.8469610000002,7122.570216
TestDateTime,160,Y,34207.022776,2.2081632653061223,245,100,21196.510151,13010.512625,34207.022776
Gift_1_ETH,18,Y,6287.533141,2.0,14,100,5242.059604,1045.4735369999999,6287.533141
LotteryFor10,45,Y,12758.808142,4.534883720930233,43,100,9609.897525,3148.9106169999995,12758.808142
PermissionGroups,58,Y,9830.855645,4.976744186046512,86,87,7365.381019,2465.4746259999993,9830.855645
GuessTheNumberChallenge,6,N,24.952216,7.375,8,0,18.188172,6.764043999999998,24.952216
Greeter,15,N,169.105028,8.45679012345679,81,0,113.472927,55.632101000000006,169.105028
EtherBank,13,N,6505.095491,2.2857142857142856,14,100,5489.763772,1015.3317189999998,6505.095491
VulnerableTwoStep,11,N,86.454059,5.4,10,0,71.672682,14.781377000000006,86.454059
BadAuction,7,N,77.195717,2.4285714285714284,7,0,64.462397,12.733320000000006,77.195717
AddressBook,19,N,350.338521,10.74074074074074,54,2,253.281495,97.05702600000001,350.338521
AddressBook,19,N,359.796197,8.907407407407407,54,2,259.975967,99.82022999999998,359.796197
Greeter3,15,N,155.003734,8.150684931506849,73,0,109.714068,45.28966600000001,155.003734
IdentityManager,49,Y,8831.373045,2.464788732394366,71,100,6573.544758,2257.8282870000003,8831.373045
EasyPayAndWithDraw,7,N,566.488801,7.5,8,4,479.247518,87.24128299999995,566.488801
EtherBank,13,N,5182.834405,2.2857142857142856,14,100,4379.277005,803.5573999999997,5182.834405
GuessTheNumberChallenge,6,N,26.69356,25.0,8,0,19.434201,7.259359,26.69356
Gift_1_ETH,18,Y,5099.254568,2.0,14,100,4234.327297,864.9272710000005,5099.254568
LotteryFor10,45,Y,14924.139986,3.7906976744186047,43,100,10808.008646,4116.13134,14924.139986
MultiSigWallet (2),59,N,24994.024918,3.4285714285714284,77,100,18497.099362,6496.925555999998,24994.024918
