Name,Tot. Statements,Tot. Branches,Deployed,Avg. Test Case Length,Branches Covered,Generations,Blockchain Time,Offchain Time,Total Time,Branch %
Greeter,15,81,0,7.481481481481482,81.0,1,106.383745,47.35379399999999,153.737539,1.0
Gift_1_ETH,18,18,1,2.0,14.0,101,7738.224161,1676.909744999999,9415.133906,0.7777777777777778
PermissionGroups,58,86,1,7.142857142857143,84.0,101,12593.778832,3454.076257999999,16047.85509,0.9767441860465116
FundRaising,23,21,0,7.619047619047619,21.0,1,53.882898,16.288652999999996,70.171551,1.0
MultiSigWallet (2),59,83,0,7.75,76.0,101,7770.269858,2007.8261860000002,9778.096044,0.9156626506024096
TestDateTime,160,252,1,2.1375,240.0,101,21705.280234,13057.953671,34763.233905,0.9523809523809523
SecureAuction,11,6,1,3.6666666666666665,6.0,1,74.526845,17.01539600000001,91.542241,1.0
BasicToken,11,8,0,2.75,8.0,1,74.709985,22.143137999999993,96.853123,1.0
BasicToken,11,8,0,5.5,8.0,1,73.759254,22.019113000000004,95.778367,1.0
SecureAuction,11,6,1,3.0,6.0,1,69.198081,15.967170999999993,85.165252,1.0
TestDateTime,160,252,1,2.1083333333333334,240.0,101,22026.200346,13263.912788999998,35290.113135,0.9523809523809523
TestDateTime,160,252,1,2.1333333333333333,240.0,101,21380.142096,13131.604757999998,34511.746854,0.9523809523809523
MultiSigWallet (2),59,83,0,5.863013698630137,73.0,101,7871.706895,2030.6809789999998,9902.387874,0.8795180722891566
FundRaising,23,21,0,8.047619047619047,21.0,1,61.911511,19.737924,81.649435,1.0
PermissionGroups,58,86,1,5.654761904761905,84.0,101,12525.908421,3461.6931829999994,15987.601604,0.9767441860465116
Reentrance,9,14,1,2.0,13.0,101,7777.170544,1610.0704080000005,9387.240952,0.9285714285714286
Greeter,15,81,0,7.135802469135802,81.0,1,106.793507,50.337770000000006,157.131277,1.0
LotteryMultipleWinners,31,45,0,6.659090909090909,44.0,101,7653.341954,2026.4605029999993,9679.802457,0.9777777777777777
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6709.22508,1085.251408,7794.476488,0.75
EIP20StandardToken,24,13,1,6.0,13.0,1,73.858514,24.879886,98.7384,1.0
VulnerableTwoStep,11,10,0,4.0,10.0,1,50.780381,10.942064000000002,61.722445,1.0
Greeter3,15,73,0,11.273972602739725,73.0,1,186.124069,86.95436800000002,273.078437,1.0
Greeter3,15,73,0,9.780821917808218,73.0,1,190.091328,90.11037200000001,280.2017,1.0
AddressBook,19,54,0,10.407407407407407,54.0,2,403.610382,169.09289199999995,572.703274,1.0
PermissionGroups,58,86,1,7.488095238095238,84.0,101,12562.477002,3459.828823,16022.305825,0.9767441860465116
VulnerableTwoStep,11,10,0,6.7,10.0,1,69.719103,14.115315999999993,83.834419,1.0
EIP20StandardToken,24,13,1,7.615384615384615,13.0,1,85.392673,28.279268000000002,113.671941,1.0
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6701.876864,1067.729233,7769.606097,0.75
GuessTheNumberChallenge,6,8,0,13.375,8.0,1,17.575456,9.658316,27.233772,1.0
PermissionGroups,58,86,1,6.023809523809524,84.0,101,12425.842572,3408.35211,15834.194682,0.9767441860465116
LotteryFor10,45,44,1,3.953488372093023,43.0,101,8982.865723,2388.956436999999,11371.82216,0.9772727272727273
SecureAuction,11,6,1,3.3333333333333335,6.0,1,69.803549,16.610478999999998,86.414028,1.0
FundRaising,23,21,0,4.428571428571429,21.0,1,52.490601,14.840433000000004,67.331034,1.0
BasicToken,11,8,0,2.5,8.0,1,74.542499,23.090812999999997,97.633312,1.0
